SessionID,Round,TimeStamp,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,VelocityX,VelocityY,VelocityZ,
8037508,0,10.01341,435.6205,0.04617438,325.6073,0.0005342013,0.999109,0.001917034,-0.04215842,0.0005342013,0.999109,0.001917034,
8037508,0,10.11367,435.5577,0.04621005,322.2159,1.363739E-05,0.9999896,0.001962073,-0.004118829,1.363739E-05,0.9999896,0.001962073,
8037508,0,10.21481,435.5852,0.04578281,318.7961,-0.0005801496,0.9998944,0.00184311,0.01440291,-0.0005801496,0.9998944,0.00184311,
8037508,0,10.31551,435.5728,0.04579445,315.3576,-0.0005229049,0.9999902,0.001931742,0.003970386,-0.0005229049,0.9999902,0.001931742,
8037508,0,10.4167,435.3875,0.04585968,311.9126,-0.0004552267,0.9994206,0.001997091,-0.03397436,-0.0004552267,0.9994206,0.001997091,
8037508,0,10.51696,434.9063,0.0458251,308.4922,-0.0004328272,0.9954863,0.002037227,-0.09488357,-0.0004328272,0.9954863,0.002037227,
8037508,0,10.61697,434.0303,0.0457985,305.1502,-0.0004039211,0.9850754,0.00207743,-0.1721106,-0.0004039211,0.9850754,0.00207743,
8037508,0,10.71886,432.6991,0.04579834,301.9629,-0.0003373137,0.9661033,0.002129167,-0.2581471,-0.0003373137,0.9661033,0.002129167,
8037508,0,10.81908,430.8997,0.04580788,299.0176,-0.0002153745,0.9381393,0.002178528,-0.3462511,-0.0002153745,0.9381393,0.002178528,
8037508,0,10.92041,428.6674,0.05089589,296.3895,-0.00209893,0.9027649,0.004844554,-0.430102,-0.00209893,0.9027649,0.004844554,
8037508,0,11.02069,426.1088,0.1125478,294.0504,-0.01361395,0.8750502,0.02009844,-0.4834231,-0.01361395,0.8750502,0.02009844,
8037508,0,11.10779,423.3871,0.1701282,291.8935,-0.01644016,0.8659311,0.01210073,-0.4997466,-0.01644016,0.8659311,0.01210073,
8037508,0,11.21296,420.5822,0.1584648,289.8265,-0.01711654,0.8582908,0.006585062,-0.5128357,-0.01711654,0.8582908,0.006585062,
8037508,0,11.31955,417.6476,0.1206488,287.9055,-0.01640824,0.8464235,0.003334038,-0.5322472,-0.01640824,0.8464235,0.003334038,
8037508,0,11.40788,414.5695,0.0811435,286.1982,-0.006788292,0.8277786,0.000380978,-0.5610136,-0.006788292,0.8277786,0.000380978,
8037508,0,11.50893,411.3449,0.04748921,284.7444,-0.002063245,0.8070925,-0.002665661,-0.5904155,-0.002063245,0.8070925,-0.002665661,
8037508,0,11.61043,408.0045,0.03442572,283.5038,0.002059508,0.7890055,0.002236262,-0.6143787,0.002059508,0.7890055,0.002236262,
8037508,0,11.71045,404.5772,0.04561395,282.4437,0.001215068,0.7773457,0.002512425,-0.6290675,0.001215068,0.7773457,0.002512425,
8037508,0,11.81102,401.0879,0.06563965,281.5065,-0.004299438,0.7693157,0.011288,-0.6387547,-0.004299438,0.7693157,0.011288,
8037508,0,11.91218,397.5667,0.134711,280.5952,-0.02762475,0.7762922,0.03778493,-0.6286332,-0.02762475,0.7762922,0.03778493,
8037508,0,12.01246,394.0869,0.2544767,279.5109,-0.05123711,0.8043765,0.06482462,-0.588346,-0.05123711,0.8043765,0.06482462,
8037508,0,12.10575,390.7202,0.3989893,278.1167,-0.05704664,0.8432645,0.05993965,-0.5310913,-0.05704664,0.8432645,0.05993965,
8037508,0,12.21573,387.5059,0.4669948,276.4267,-0.0506706,0.8803188,0.03926449,-0.4700316,-0.0506706,0.8803188,0.03926449,
8037508,0,12.31714,384.3403,0.4078069,274.7016,-0.04587017,0.9112134,0.01665036,-0.4090342,-0.04587017,0.9112134,0.01665036,
8037508,0,12.41766,381.2229,0.2571002,272.9423,-0.04299958,0.9403427,0.00837598,-0.3373969,-0.04299958,0.9403427,0.00837598,
8037508,0,12.51782,378.3428,0.1521342,270.7744,-0.02075103,0.9691195,0.00864426,-0.2455645,-0.02075103,0.9691195,0.00864426,
8037508,0,12.61827,375.8361,0.1040074,268.1327,-0.02008154,0.9869971,0.002878077,-0.1594532,-0.02008154,0.9869971,0.002878077,
8037508,0,12.71891,373.7514,0.03622358,265.1563,-0.004705426,0.9979208,-0.001150995,-0.06427062,-0.004705426,0.9979208,-0.001150995,
8037508,0,12.82035,372.2348,0.02619196,261.8791,0.007274784,0.9992355,-3.606081E-06,0.03841169,0.007274784,0.9992355,-3.606081E-06,
8037508,0,12.92142,371.3406,0.04767923,258.4095,0.0003928137,0.9892592,0.00261271,0.1461482,0.0003928137,0.9892592,0.00261271,
8037508,0,13.00634,371.0472,0.04945771,254.8428,-0.00072632,0.9688536,0.002694264,0.2476187,-0.00072632,0.9688536,0.002694264,
8037508,0,13.1082,371.2957,0.04477727,251.266,-0.0001357513,0.943776,0.001724422,0.3305812,-0.0001357513,0.943776,0.001724422,
8037508,0,13.20886,371.9948,0.07747158,247.7477,0.008115457,0.9189081,0.01554956,0.3940816,0.008115457,0.9189081,0.01554956,
8037508,0,13.30988,373.1153,0.3343251,244.3772,0.002345357,0.896894,0.05005983,0.439397,0.002345357,0.896894,0.05005983,
8037508,0,13.4109,374.3214,0.8939317,241.339,-0.01125343,0.8644425,0.1295228,0.48563,-0.01125343,0.8644425,0.1295228,
8037508,0,13.51211,374.687,1.781607,239.3587,0.01615823,0.7495942,0.2222724,0.6232517,0.01615823,0.7495942,0.2222724,
8037508,0,13.61279,374.8551,2.607549,237.8954,0.06253324,0.6561618,0.2913931,0.6932758,0.06253324,0.6561618,0.2913931,
8037508,0,13.71382,375.2434,3.383924,236.6348,0.0922617,0.5340757,0.3683384,0.755366,0.0922617,0.5340757,0.3683384,
8037508,0,13.81399,375.7664,4.153184,235.7392,0.07811055,0.3805324,0.4136713,0.8233893,0.07811055,0.3805324,0.4136713,
8037508,0,13.91407,376.3177,4.88628,235.173,0.08629075,0.2247373,0.4526031,0.858602,0.08629075,0.2247373,0.4526031,
8037508,0,14.01426,376.6815,5.579011,234.8678,0.1329253,0.11548,0.4486701,0.8761795,0.1329253,0.11548,0.4486701,
8037508,0,14.11478,376.9596,6.14728,234.63,0.176458,0.03276681,0.4010441,0.8983054,0.176458,0.03276681,0.4010441,
8037508,0,14.21552,377.2368,6.591324,234.3972,0.2150849,-0.04508109,0.3519657,0.9098496,0.2150849,-0.04508109,0.3519657,
8037508,0,14.31707,377.5041,6.92909,234.1695,0.2530564,-0.1207989,0.3064189,0.909658,0.2530564,-0.1207989,0.3064189,
8037508,0,14.41835,377.7213,7.176486,234.0079,0.2857361,-0.1902481,0.289079,0.8936408,0.2857361,-0.1902481,0.289079,
8037508,0,14.51978,377.8808,7.349624,233.9784,0.2968792,-0.2426629,0.2799163,0.8801275,0.2968792,-0.2426629,0.2799163,
8037508,0,14.62085,377.9912,7.432776,234.014,0.2993991,-0.2801246,0.2653416,0.8726307,0.2993991,-0.2801246,0.2653416,
8037508,0,14.72161,378.0315,7.423623,234.0813,0.3046446,-0.3010455,0.2536499,0.8673091,0.3046446,-0.3010455,0.2536499,
8037508,0,14.80555,377.9799,7.324353,234.1595,0.3126961,-0.3124806,0.2474513,0.8621745,0.3126961,-0.3124806,0.2474513,
8037508,0,14.90676,377.8559,7.138948,234.2744,0.3186331,-0.3229104,0.2443015,0.8570407,0.3186331,-0.3229104,0.2443015,
8037508,0,15.00733,377.6788,6.871948,234.447,0.3239939,-0.3324543,0.2417839,0.8520813,0.3239939,-0.3324543,0.2417839,
8037508,0,15.10941,377.4605,6.524804,234.6822,0.3299934,-0.3380125,0.2416103,0.84763,0.3299934,-0.3380125,0.2416103,
8037508,0,15.21014,377.2177,6.120578,234.9598,0.336601,-0.3405945,0.2407091,0.8442478,0.336601,-0.3405945,0.2407091,
8037508,0,15.31181,376.97,5.686693,235.2475,0.3432649,-0.3403421,0.2410343,0.8415694,0.3432649,-0.3403421,0.2410343,
